eno,dno,commune,statut,nom
0060033D,6    ,Nice                                              ,Public                             ,Lycée Honoré d'Estienne d'Orves (Beau-Site)                                                                                                         
0492360Z,49   ,Saumur                                            ,Public                             ,Université Angers - Campus de Saumur                                                                                                                 
0622384E,62   ,Arras                                             ,Privé enseignement supérieur     ,CESI Campus d'Arras                                                                                                                                   
0940145X,94   ,Vitry-sur-Seine                                   ,Public                             ,Lycée professionnel Camille Claudel                                                                                                                  
0220196U,22   ,Lamballe-Armor                                    ,Public                             ,Lycée Henri Avril                                                                                                                                    
0290012F,29   ,Brest                                             ,Public                             ,Lycée Vauban                                                                                                                                         
0541774K,54   ,Val de Briey                                      ,Public                             ,IFSI Briey                                                                                                                                            
0771027Y,77   ,Dammarie-les-Lys                                  ,Public                             ,Lycée Joliot Curie                                                                                                                                   
0750651A,75   ,Paris  3e  Arrondissement                         ,Public                             ,Lycée Simone Weil                                                                                                                                    
0640013S,64   ,Bayonne                                           ,Public                             ,Lycée professionnel Paul Bert                                                                                                                        
0420996E,42   ,Saint-Chamond                                     ,Privé sous contrat d'association  ,Lycée professionnel La Grand'Grange                                                                                                                  
0573227Y,57   ,Metz                                              ,Public                             ,Lycée Louis De Cormontaigne                                                                                                                          
0811293I,81   ,Castres                                           ,Public                             ,ISIS - Partenaire INSA                                                                                                                                
0120870F,12   ,Rodez                                             ,Public                             ,I.U.T de Rodez                                                                                                                                        
0561534N,56   ,Auray                                             ,Public                             ,Lycée Benjamin Franklin                                                                                                                              
0081047V,8    ,Sedan                                             ,Public                             ,Lycée Bazeilles                                                                                                                                      
0672877N,67   ,Strasbourg                                        ,Privé hors contrat                ,OMNIS - Ecole Supérieure de Commerce & Management                                                                                                    
0311527S,31   ,Toulouse                                          ,Public                             ,Unité de formation et de recherche des sciences médicales - Rangueil - Université Toulouse 3                                                       
0360778A,36   ,Châteauroux                                      ,Public                             ,I.U.T. de l' Indre (Châteauroux)                                                                                                                     
0140052F,14   ,Falaise                                           ,Public                             ,Lycée Guillaume le Conquérant                                                                                                                       
0080027L,8    ,Charleville-Mézières                            ,Public                             ,Lycée Monge                                                                                                                                          
0332744D,33   ,Lormont                                           ,Public                             ,Lycée Elie Faure                                                                                                                                     
0211173L,21   ,Plombières-lès-Dijon                            ,Public                             ,Lycée agricole Felix Kir                                                                                                                             
0753035S,93   ,Montreuil                                         ,Privé sous contrat d'association  ,IFSI Croix Saint-Simon                                                                                                                                
0130002G,13   ,Aix-en-Provence                                   ,Public                             ,Lycée Paul Cezanne                                                                                                                                   
0762637D,76   ,Bois-Guillaume                                    ,Privé sous contrat d'association  ,IFSI Croix Rouge Française Bois Guillaume                                                                                                            
0573281G,57   ,Metz                                              ,Public                             ,Lycée De La Communication                                                                                                                            
0542457C,54   ,Nancy                                             ,Public                             ,CNAM Grand Est - Nancy                                                                                                                                
0230018V,23   ,Felletin                                          ,Public                             ,Lycée Des Metiers Du Batiment                                                                                                                        
0630111D,63   ,Clermont-Ferrand                                  ,Privé enseignement supérieur     ,Institut National des Formations Notariales - site de CLERMONT-FERRAND                                                                                
0921984G,92   ,Clichy                                            ,Public                             ,IFSI Beaujon René Auffray (AP-HP)                                                                                                                    
9741231V,974  ,Saint-Benoît                                     ,Public                             ,Lycée Marie Curie                                                                                                                                    
0511884W,51   ,Reims                                             ,Public                             ,lycée Georges BRIERE                                                                                                                                 
0880020U,88   ,Epinal                                            ,Public                             ,Lycée Claude Gellee                                                                                                                                  
0622276M,62   ,Berck                                             ,Public                             ,Lycée Jan Lavezzari                                                                                                                                  
0922149L,92   ,Clichy                                            ,Public                             ,Lycée Auffray                                                                                                                                        
0440355X,44   ,Gorges                                            ,Privé sous contrat d'association  ,Lycée agricole Campus - Lycee Technologique Charles Peguy                                                                                            
0940878U,94   ,Saint-Maur-des-Fossés                            ,Privé sous contrat d'association  ,Lycée Teilhard De Chardin                                                                                                                            
0261100E,26   ,Valence                                           ,Public                             ,Lycée professionnel Amblard                                                                                                                          
0632001H,63   ,Lempdes                                           ,Public                             ,AgroSup Dijon Direction Enseignement à Distance (CNPR)                                                                                               
0421574H,42   ,Saint-Chamond                                     ,Public                             ,IFSI St Chamond                                                                                                                                       
0352512R,35   ,Montfort-sur-Meu                                  ,Privé sous contrat d'association  ,CFTA                                                                                                                                                  
9760229V,976  ,Pamandzi                                          ,Public                             ,Lycée de Petite Terre                                                                                                                                
9740479C,974  ,Saint-Denis                                       ,Public                             ,Lycée professionnel Amiral Lacaze                                                                                                                    
0750681H,75   ,Paris 12e  Arrondissement                         ,Public                             ,ESAA Boulle                                                                                                                                           
0211053F,21   ,Dijon                                             ,Privé enseignement supérieur     ,IRTESS                                                                                                                                                
0782117C,78   ,Mantes-la-Jolie                                   ,Public                             ,I.U.T. de Mantes en Yvelines                                                                                                                          
0221031B,22   ,Merdrignac                                        ,Public                             ,Lycée agricole Public                                                                                                                                
0595872M,59   ,Cambrai                                           ,Public                             ,Universite de Lille - Centre Universitaire de Cambrai                                                                                                 
0271476H,27   ,Evreux                                            ,Public                             ,IFSI Evreux CH Eure-Seine                                                                                                                             
0290170C,29   ,Quimper                                           ,Privé sous contrat d'association  ,Lycée Le Likès                                                                                                                                      
0720003M,72   ,Arnage                                            ,Public                             ,Lycée professionnel Claude Chappe                                                                                                                    
0753547Y,75   ,Paris 11e  Arrondissement                         ,Privé enseignement supérieur     ,ESCP Business School                                                                                                                                  
0491793H,49   ,Saumur                                            ,Public                             ,IFSI CH SAUMUR                                                                                                                                        
0801328J,80   ,Péronne                                          ,Public                             ,Lycée agricole de la Haute Somme-Péronne                                                                                                            
0771988T,77   ,Fontainebleau                                     ,Public                             ,I.F.S.I. du centre hospitalier du sud Seine-et-Marne (rentrée en février)                                                                           
0890008A,89   ,Avallon                                           ,Public                             ,Lycée du Parc des Chaumes                                                                                                                            
0140017T,14   ,Caen                                              ,Public                             ,Lycée Jean Rostand                                                                                                                                   
0870017W,87   ,Limoges                                           ,Public                             ,Lycée Auguste Renoir                                                                                                                                 
9710067W,971  ,Basse-Terre                                       ,Privé sous contrat d'association  ,Lycée professionnel Blanchet                                                                                                                         
9740679V,974  ,Sainte-Suzanne                                    ,Privé sous contrat d'association  ,Lycée professionnel Cluny Ste Suzanne                                                                                                                
0772894C,77   ,Marne-la-Vallée                                  ,Public                             ,Université Gustave Eiffel                                                                                                                            
0380032D,38   ,Grenoble                                          ,Public                             ,Lycée polyvalent Emmanuel Mounier                                                                                                                    
0480713P,48   ,Mende                                             ,Public                             ,"Université de Montpellier, Antenne de Mende                                                                                                          "
