fno,selectivite,filiere
24779,formation sélective                              ,Licence - Droit-économie-gestion                                                                                                                     
31657,formation sélective                              ,Classe préparatoire économique et commerciale                                                                                                       
23767,formation sélective                              ,D.E secteur social                                                                                                                                    
12621,formation sélective                              ,Licence - Sciences - technologies - santé                                                                                                            
11945,formation sélective                              ,BTS - Services                                                                                                                                        
26274,formation sélective                              ,Formation des écoles de commerce et de management                                                                                                    
3934,formation sélective                              ,BTS - Services                                                                                                                                        
5327,formation sélective                              ,BTS - Agricole                                                                                                                                        
23264,formation sélective                              ,D.E secteur sanitaire                                                                                                                                 
15453,formation sélective                              ,Licence - Arts-lettres-langues                                                                                                                        
2464,formation sélective                              ,BTS - Agricole                                                                                                                                        
26442,formation sélective                              ,Formation des écoles supérieure d'art                                                                                                               
4056,formation sélective                              ,BTS - Production                                                                                                                                      
6967,formation sélective                              ,BTS - Services                                                                                                                                        
24976,formation sélective                              ,D.E secteur social                                                                                                                                    
18830,formation sélective                              ,BTS - Production                                                                                                                                      
8083,formation sélective                              ,BTS - Services                                                                                                                                        
9337,formation sélective                              ,Licence - Arts-lettres-langues                                                                                                                        
22662,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
347,formation sélective                              ,Formations  des écoles d'ingénieurs                                                                                                                 
21698,formation sélective                              ,DN MADE                                                                                                                                               
8733,formation sélective                              ,Classe préparatoire scientifique                                                                                                                     
15768,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
486,formation sélective                              ,Formations  des écoles d'ingénieurs                                                                                                                 
4468,formation sélective                              ,Formations  des écoles d'ingénieurs                                                                                                                 
32888,formation sélective                              ,Diplôme d'Université                                                                                                                                
9391,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
31867,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
25596,formation sélective                              ,Mention complémentaire                                                                                                                               
4441,formation sélective                              ,BTS - Agricole                                                                                                                                        
12396,formation sélective                              ,DEUST                                                                                                                                                 
9613,formation sélective                              ,Classe préparatoire économique et commerciale                                                                                                       
24103,formation sélective                              ,DN MADE                                                                                                                                               
30821,formation sélective                              ,Formations  des écoles d'ingénieurs                                                                                                                 
13888,formation non sélective                          ,Licence - Sciences humaines et sociales                                                                                                               
6181,formation sélective                              ,BTS - Services                                                                                                                                        
8065,formation non sélective                          ,Licence - Droit-économie-gestion                                                                                                                     
9858,formation sélective                              ,BTS - Production                                                                                                                                      
28087,formation sélective                              ,D.E secteur sanitaire                                                                                                                                 
23584,formation sélective                              ,Mention complémentaire                                                                                                                               
23696,formation sélective                              ,D.E secteur social                                                                                                                                    
10774,formation sélective                              ,BTS - Services                                                                                                                                        
25082,formation sélective                              ,Mention complémentaire                                                                                                                               
20,formation sélective                              ,Formations  des écoles d'ingénieurs                                                                                                                 
7245,formation sélective                              ,BTS - Services                                                                                                                                        
25293,formation sélective                              ,BTS - Services                                                                                                                                        
27287,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
4018,formation non sélective                          ,Licence - Droit-économie-gestion                                                                                                                     
30070,formation sélective                              ,BTS - Services                                                                                                                                        
11212,formation sélective                              ,BTS - Services                                                                                                                                        
31644,formation sélective                              ,Classe préparatoire économique et commerciale                                                                                                       
4016,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
11878,formation sélective                              ,BUT - Service                                                                                                                                         
9917,formation sélective                              ,Licence - Arts-lettres-langues                                                                                                                        
31691,formation sélective                              ,Formation des écoles de commerce et de management                                                                                                    
14130,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
4885,formation non sélective                          ,Licence - Sciences humaines et sociales                                                                                                               
23018,formation sélective                              ,D.E secteur sanitaire                                                                                                                                 
23172,formation sélective                              ,D.E secteur sanitaire                                                                                                                                 
17702,formation sélective                              ,BTS - Production                                                                                                                                      
19769,formation sélective                              ,Mention complémentaire                                                                                                                               
31594,formation sélective                              ,Classe préparatoire économique et commerciale                                                                                                       
31811,formation sélective                              ,Formation des écoles de commerce et de management                                                                                                    
20780,formation sélective                              ,BTS - Production                                                                                                                                      
24470,formation sélective                              ,Licence - Arts-lettres-langues                                                                                                                        
24861,formation sélective                              ,D.E secteur social                                                                                                                                    
23346,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
3131,formation sélective                              ,Classe préparatoire scientifique                                                                                                                     
30202,formation sélective                              ,BTS - Services                                                                                                                                        
13967,formation sélective                              ,BTS - Production                                                                                                                                      
7502,formation non sélective                          ,Licence - Sciences humaines et sociales                                                                                                               
5428,formation sélective                              ,Classe préparatoire littéraire                                                                                                                      
11369,formation sélective                              ,Classe préparatoire scientifique                                                                                                                     
20120,formation sélective                              ,BTS - Services                                                                                                                                        
5205,formation sélective                              ,BTS - Services                                                                                                                                        
26925,formation sélective                              ,DEUST                                                                                                                                                 
20380,formation sélective                              ,BTS - Services                                                                                                                                        
2408,formation sélective                              ,BTS - Services                                                                                                                                        
7670,formation sélective                              ,BTS - Services                                                                                                                                        
10862,formation sélective                              ,Classe préparatoire scientifique                                                                                                                     
10015,formation sélective                              ,BUT - Service                                                                                                                                         
25282,formation sélective                              ,BTS - Services                                                                                                                                        
2132,formation sélective                              ,BTS - Services                                                                                                                                        
24888,formation sélective                              ,D.E secteur social                                                                                                                                    
4072,formation sélective                              ,BTS - Services                                                                                                                                        
6963,formation sélective                              ,BUT - Service                                                                                                                                         
28498,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
5838,formation sélective                              ,BTS - Services                                                                                                                                        
3486,formation sélective                              ,BTS - Production                                                                                                                                      
10169,formation sélective                              ,DCG                                                                                                                                                   
12062,formation sélective                              ,Formation des écoles de commerce et de management                                                                                                    
4365,formation sélective                              ,BTS - Services                                                                                                                                        
10427,formation sélective                              ,BTS - Services                                                                                                                                        
23336,formation non sélective                          ,Licence - Sciences humaines et sociales                                                                                                               
8914,formation sélective                              ,BTS - Services                                                                                                                                        
21301,formation sélective                              ,BPJEPS                                                                                                                                                
31597,formation sélective                              ,Classe préparatoire économique et commerciale                                                                                                       
2541,formation sélective                              ,BTS - Services                                                                                                                                        
5682,formation sélective                              ,BTS - Services                                                                                                                                        
4069,formation sélective                              ,Classe préparatoire économique et commerciale                                                                                                       
9331,formation sélective                              ,Licence - Arts-lettres-langues                                                                                                                        
18821,formation sélective                              ,BTS - Services                                                                                                                                        
8320,formation sélective                              ,BTS - Production                                                                                                                                      
4969,formation sélective                              ,BUT - Production                                                                                                                                      
10346,formation sélective                              ,BTS - Services                                                                                                                                        
4940,formation sélective                              ,BTS - Services                                                                                                                                        
15406,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
4690,formation sélective                              ,BTS - Services                                                                                                                                        
19626,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
2061,formation sélective                              ,BTS - Production                                                                                                                                      
33189,formation sélective                              ,BTS - Services                                                                                                                                        
7178,formation non sélective                          ,Licence - Droit-économie-gestion                                                                                                                     
17663,formation sélective                              ,BTS - Services                                                                                                                                        
24357,formation sélective                              ,DN MADE                                                                                                                                               
6552,formation sélective                              ,BTS - Production                                                                                                                                      
6488,formation non sélective                          ,Licence - Sciences humaines et sociales                                                                                                               
20602,formation sélective                              ,Mention complémentaire                                                                                                                               
10991,formation sélective                              ,Classe préparatoire scientifique                                                                                                                     
28770,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
11652,formation sélective                              ,BTS - Services                                                                                                                                        
10486,formation sélective                              ,BTS - Services                                                                                                                                        
8098,formation sélective                              ,BTS - Services                                                                                                                                        
25322,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
32429,formation sélective                              ,Diplôme d'Université                                                                                                                                
4298,formation sélective                              ,BTS - Services                                                                                                                                        
31592,formation sélective                              ,Classe préparatoire économique et commerciale                                                                                                       
7860,formation sélective                              ,BTS - Services                                                                                                                                        
15863,formation sélective                              ,BTS - Agricole                                                                                                                                        
27558,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
23450,formation sélective                              ,D.E secteur social                                                                                                                                    
9267,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
6631,formation sélective                              ,BTS - Production                                                                                                                                      
2583,formation sélective                              ,BTS - Production                                                                                                                                      
6040,formation sélective                              ,BUT - Production                                                                                                                                      
3158,formation sélective                              ,BTS - Agricole                                                                                                                                        
15413,formation non sélective                          ,Licence - Sciences humaines et sociales                                                                                                               
28560,formation sélective                              ,Licence - Droit-économie-gestion                                                                                                                     
27716,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
24096,formation sélective                              ,DN MADE                                                                                                                                               
6438,formation sélective                              ,BTS - Services                                                                                                                                        
8854,formation sélective                              ,DCG                                                                                                                                                   
5425,formation sélective                              ,Classe préparatoire littéraire                                                                                                                      
20733,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
10400,formation sélective                              ,BTS - Production                                                                                                                                      
26462,formation sélective                              ,D.E secteur sanitaire                                                                                                                                 
4105,formation sélective                              ,BTS - Production                                                                                                                                      
5262,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
26723,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
8749,formation non sélective                          ,Licence - Sciences humaines et sociales                                                                                                               
30201,formation sélective                              ,BTS - Services                                                                                                                                        
33291,formation sélective                              ,Diplôme d'Université                                                                                                                                
2087,formation sélective                              ,BTS - Services                                                                                                                                        
27011,formation non sélective                          ,Licence - Sciences humaines et sociales                                                                                                               
17375,formation sélective                              ,BTS - Agricole                                                                                                                                        
24654,formation sélective                              ,Formations  des écoles d'ingénieurs                                                                                                                 
23071,formation sélective                              ,D.E secteur sanitaire                                                                                                                                 
13609,formation sélective                              ,BTS - Services                                                                                                                                        
2826,formation sélective                              ,BTS - Services                                                                                                                                        
6146,formation sélective                              ,BTS - Agricole                                                                                                                                        
6359,formation non sélective                          ,Licence - Sciences humaines et sociales                                                                                                               
2635,formation sélective                              ,BTS - Services                                                                                                                                        
14973,formation sélective                              ,C.M.I - Cursus Master en Ingénierie                                                                                                                  
7671,formation sélective                              ,BTS - Services                                                                                                                                        
25707,formation sélective                              ,Mention complémentaire                                                                                                                               
5081,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
24349,formation sélective                              ,DN MADE                                                                                                                                               
11065,formation sélective                              ,BTS - Production                                                                                                                                      
18725,formation sélective                              ,BTS - Production                                                                                                                                      
29838,formation sélective                              ,BTS - Services                                                                                                                                        
4996,formation sélective                              ,BUT - Production                                                                                                                                      
22795,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
8900,formation sélective                              ,BUT - Production                                                                                                                                      
2331,formation sélective                              ,BTS - Services                                                                                                                                        
3006,formation sélective                              ,BTS - Services                                                                                                                                        
32041,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
21661,formation sélective                              ,DEUST                                                                                                                                                 
23197,formation sélective                              ,D.E secteur sanitaire                                                                                                                                 
23164,formation sélective                              ,D.E secteur sanitaire                                                                                                                                 
10467,formation sélective                              ,BUT - Production                                                                                                                                      
4643,formation sélective                              ,BTS - Production                                                                                                                                      
2784,formation sélective                              ,BTS - Services                                                                                                                                        
32218,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
27810,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
5354,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
6841,formation sélective                              ,Classe préparatoire scientifique                                                                                                                     
23231,formation sélective                              ,D.E secteur sanitaire                                                                                                                                 
35026,formation sélective                              ,Mention complémentaire                                                                                                                               
4157,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
21949,formation sélective                              ,DN MADE                                                                                                                                               
5658,formation sélective                              ,BTS - Production                                                                                                                                      
12020,formation sélective                              ,BTS - Services                                                                                                                                        
30760,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
4972,formation sélective                              ,BUT - Production                                                                                                                                      
4400,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
6229,formation non sélective                          ,Licence - Droit-économie-gestion                                                                                                                     
23073,formation sélective                              ,D.E secteur sanitaire                                                                                                                                 
8165,formation sélective                              ,Classe préparatoire scientifique                                                                                                                     
3969,formation sélective                              ,BTS - Services                                                                                                                                        
27991,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
24102,formation sélective                              ,DN MADE                                                                                                                                               
7563,formation sélective                              ,Classe préparatoire scientifique                                                                                                                     
11396,formation sélective                              ,Classe préparatoire littéraire                                                                                                                      
9499,formation sélective                              ,BTS - Services                                                                                                                                        
27700,formation non sélective                          ,Licence - Droit-économie-gestion                                                                                                                     
6795,formation sélective                              ,BTS - Production                                                                                                                                      
9467,formation sélective                              ,Classe préparatoire scientifique                                                                                                                     
18385,formation sélective                              ,BUT - Production                                                                                                                                      
9623,formation sélective                              ,BUT - Production                                                                                                                                      
28083,formation sélective                              ,D.E secteur sanitaire                                                                                                                                 
20162,formation sélective                              ,BTS - Production                                                                                                                                      
4581,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
22154,formation sélective                              ,BTS - Services                                                                                                                                        
23285,formation sélective                              ,D.E secteur sanitaire                                                                                                                                 
32134,formation sélective                              ,Diplôme d'Université                                                                                                                                
29503,formation sélective                              ,Mention complémentaire                                                                                                                               
31131,formation sélective                              ,Formations  des écoles d'ingénieurs                                                                                                                 
4871,formation sélective                              ,BUT - Service                                                                                                                                         
