fno,selectivite,filiere
10363,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
3417,formation sélective                              ,BTS - Agricole                                                                                                                                        
9388,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
81,formation sélective                              ,Formations  des écoles d'ingénieurs                                                                                                                 
33802,formation sélective                              ,D.E secteur sanitaire                                                                                                                                 
27230,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
31273,formation sélective                              ,Classe préparatoire économique et commerciale                                                                                                       
2073,formation sélective                              ,DCG                                                                                                                                                   
6669,formation sélective                              ,BUT - Production                                                                                                                                      
16088,formation sélective                              ,BTS - Services                                                                                                                                        
30873,formation sélective                              ,Licence - Sciences - technologies - santé                                                                                                            
11815,formation sélective                              ,BTS - Production                                                                                                                                      
19422,formation sélective                              ,D.E secteur sanitaire                                                                                                                                 
10012,formation sélective                              ,BUT - Production                                                                                                                                      
14228,formation sélective                              ,BTS - Services                                                                                                                                        
11087,formation non sélective                          ,Licence - Sciences humaines et sociales                                                                                                               
28440,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
8025,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
25360,formation sélective                              ,Diplôme d'Université                                                                                                                                
3210,formation sélective                              ,BTS - Production                                                                                                                                      
20982,formation sélective                              ,C.M.I - Cursus Master en Ingénierie                                                                                                                  
10924,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
32570,formation sélective                              ,Sciences politiques                                                                                                                                   
30816,formation sélective                              ,Formations  des écoles d'ingénieurs                                                                                                                 
5690,formation sélective                              ,BTS - Services                                                                                                                                        
11600,formation sélective                              ,BTS - Services                                                                                                                                        
9804,formation sélective                              ,BTS - Production                                                                                                                                      
22887,formation sélective                              ,Formations  des écoles d'ingénieurs                                                                                                                 
11218,formation sélective                              ,Classe préparatoire littéraire                                                                                                                      
26972,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
32051,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
11376,formation sélective                              ,BTS - Services                                                                                                                                        
2335,formation sélective                              ,BTS - Services                                                                                                                                        
2333,formation sélective                              ,BTS - Production                                                                                                                                      
7955,formation sélective                              ,BTS - Services                                                                                                                                        
23953,formation sélective                              ,D.E secteur sanitaire                                                                                                                                 
20374,formation sélective                              ,Classe préparatoire aux études supérieures                                                                                                         
5703,formation non sélective                          ,Licence - Droit-économie-gestion                                                                                                                     
7177,formation non sélective                          ,Licence - Droit-économie-gestion                                                                                                                     
2879,formation non sélective                          ,Licence - Sciences humaines et sociales                                                                                                               
9310,formation non sélective                          ,Licence - Sciences humaines et sociales                                                                                                               
30065,formation sélective                              ,BTS - Services                                                                                                                                        
5299,formation sélective                              ,Classe préparatoire scientifique                                                                                                                     
11855,formation sélective                              ,BTS - Services                                                                                                                                        
17600,formation sélective                              ,Licence - Arts-lettres-langues                                                                                                                        
4,formation sélective                              ,Formations  des écoles d'ingénieurs                                                                                                                 
32569,formation sélective                              ,Sciences politiques                                                                                                                                   
6308,formation sélective                              ,BTS - Agricole                                                                                                                                        
7876,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
7345,formation sélective                              ,BTS - Services                                                                                                                                        
24487,formation sélective                              ,Formations  des écoles d'ingénieurs                                                                                                                 
19498,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
26733,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
21953,formation sélective                              ,DN MADE                                                                                                                                               
4878,formation sélective                              ,BTS - Agricole                                                                                                                                        
6845,formation sélective                              ,BTS - Services                                                                                                                                        
21969,formation sélective                              ,DN MADE                                                                                                                                               
5648,formation sélective                              ,BTS - Production                                                                                                                                      
23250,formation sélective                              ,D.E secteur sanitaire                                                                                                                                 
2217,formation sélective                              ,BTS - Services                                                                                                                                        
32102,formation non sélective                          ,Licence - Droit-économie-gestion                                                                                                                     
24276,formation sélective                              ,Mention complémentaire                                                                                                                               
13447,formation sélective                              ,Licence - Droit-économie-gestion                                                                                                                     
11729,formation sélective                              ,BTS - Services                                                                                                                                        
26436,formation sélective                              ,Formation des écoles supérieure d'art                                                                                                               
11399,formation sélective                              ,Classe préparatoire scientifique                                                                                                                     
7017,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
10444,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
9656,formation sélective                              ,BUT - Service                                                                                                                                         
8810,formation non sélective                          ,Licence - Droit-économie-gestion                                                                                                                     
9438,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
4609,formation sélective                              ,BTS - Services                                                                                                                                        
2731,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
23190,formation sélective                              ,D.E secteur sanitaire                                                                                                                                 
25705,formation sélective                              ,Mention complémentaire                                                                                                                               
2386,formation sélective                              ,BUT - Service                                                                                                                                         
31732,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
33406,formation sélective                              ,Formations  des écoles d'ingénieurs                                                                                                                 
10259,formation sélective                              ,BTS - Production                                                                                                                                      
22892,formation sélective                              ,Formations  des écoles d'ingénieurs                                                                                                                 
24108,formation sélective                              ,Licence - Sciences - technologies - santé                                                                                                            
3205,formation sélective                              ,Classe préparatoire scientifique                                                                                                                     
31655,formation sélective                              ,Classe préparatoire économique et commerciale                                                                                                       
3854,formation sélective                              ,BTS - Agricole                                                                                                                                        
30734,formation sélective                              ,Licence - Sciences - technologies - santé                                                                                                            
26387,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
14540,formation sélective                              ,BTS - Services                                                                                                                                        
11696,formation sélective                              ,BUT - Production                                                                                                                                      
24114,formation non sélective                          ,Licence - Droit-économie-gestion                                                                                                                     
7769,formation sélective                              ,DCG                                                                                                                                                   
27974,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
32702,formation sélective                              ,Diplôme d'Université                                                                                                                                
14530,formation sélective                              ,BTS - Services                                                                                                                                        
3563,formation non sélective                          ,Licence - Sciences humaines et sociales                                                                                                               
32213,formation sélective                              ,Formation des écoles de commerce et de management                                                                                                    
10370,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
33996,formation sélective                              ,Formations  des écoles d'ingénieurs                                                                                                                 
5844,formation sélective                              ,BTS - Production                                                                                                                                      
15936,formation sélective                              ,BTS - Services                                                                                                                                        
6512,formation sélective                              ,BUT - Production                                                                                                                                      
23058,formation sélective                              ,D.E secteur sanitaire                                                                                                                                 
14500,formation sélective                              ,BTS - Production                                                                                                                                      
8117,formation sélective                              ,BUT - Service                                                                                                                                         
6548,formation sélective                              ,BTS - Production                                                                                                                                      
6801,formation sélective                              ,Mention complémentaire                                                                                                                               
3961,formation sélective                              ,Classe préparatoire scientifique                                                                                                                     
35051,formation sélective                              ,Mention complémentaire                                                                                                                               
24351,formation sélective                              ,DN MADE                                                                                                                                               
5939,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
23538,formation sélective                              ,BPJEPS                                                                                                                                                
24954,formation sélective                              ,D.E secteur social                                                                                                                                    
4770,formation sélective                              ,BTS - Services                                                                                                                                        
5527,formation sélective                              ,BTS - Services                                                                                                                                        
31290,formation sélective                              ,Classe préparatoire économique et commerciale                                                                                                       
