eno,fno,capacite_etablissement,effectif_total,dont_effectif_candidates,total_candidats_phase_principale,neo_generaux_principal,neo_generaux_boursier_principal,neo_technologiques_principal,neo_technologiques_boursiers_principal,neo_professionnels_principal,neo_professionnels_boursiers_principal,autre_candidats_principal,total_candidats_complementaire,neo_generaux_complementaire,neo_technologique_complementaire,neo_professionnels_complementaire,autre_candidats_complementaires,total_candidats_admis,dont_candidates_admises,admis_principal,admis_complementaire,admis_proposition_principale,neo_admis,neo_boursiers_admis,neo_admis_generaux,neo_admis_technologiques,neo_admis_professionnels,admis_autres
0630109B,23473,130,581,235,566,452,35,59,8,7,4,48,15,2,2,0,11,110,57,107,3,37.0,94,12,84,8,2,16
0333358W,4463,114,5154,2521,5154,2857,408,1470,391,46,15,781,0,0,0,0,0,112,59,112,0,38.0,105,27,49,56,0,7
0421095M,5347,210,2532,1226,2532,1735,339,155,66,51,26,591,0,0,0,0,0,208,97,208,0,45.0,147,37,144,3,0,61
0760091L,9593,96,621,431,597,466,68,2,0,3,0,126,24,8,0,1,15,80,55,79,1,22.0,79,9,79,0,0,1
0572081C,6596,300,1975,1083,1757,947,268,364,147,88,50,358,218,22,19,27,150,283,131,186,97,10.0,171,71,92,40,39,112
0492226D,19,116,7585,1963,7585,6751,548,0,0,0,0,834,0,0,0,0,0,116,23,116,0,67.0,113,12,113,0,0,3
0860740M,24937,5,7,5,7,0,0,2,0,2,0,3,0,0,0,0,0,5,4,5,0,4.0,3,0,0,2,1,2
0492298G,5982,30,226,53,221,45,4,73,8,21,5,82,5,0,0,1,4,26,6,23,3,19.0,14,4,7,5,2,12
0370800U,13217,25,174,118,114,88,10,7,2,1,0,18,60,14,2,3,41,11,9,10,1,3.0,11,1,11,0,0,0
0781629X,23293,61,2513,2201,2513,292,63,426,139,276,117,1519,0,0,0,0,0,61,48,61,0,1.0,38,6,16,18,4,23
0291208F,13594,32,313,67,286,73,13,59,8,55,10,99,27,3,4,2,18,14,1,10,4,6.0,10,0,3,2,5,4
0290334F,3841,135,1869,839,1869,1059,126,561,89,14,8,235,0,0,0,0,0,132,70,132,0,65.0,120,15,58,62,0,12
0750672Y,21965,16,457,380,457,132,21,129,15,8,0,188,0,0,0,0,0,16,15,16,0,4.0,12,1,8,4,0,4
0623845T,23151,99,3464,2741,3464,607,139,661,186,298,123,1898,0,0,0,0,0,99,83,99,0,0.0,60,17,26,21,13,39
0580758J,27974,2,1649,1261,1649,1230,238,59,12,11,4,349,0,0,0,0,0,2,1,2,0,0.0,2,2,1,1,0,0
0941111X,28562,24,1260,992,1260,761,161,30,12,1,1,468,0,0,0,0,0,23,19,22,0,1.0,18,3,18,0,0,5
0693623N,86,135,1869,806,1869,1863,173,0,0,0,0,6,0,0,0,0,0,135,87,135,0,93.0,135,5,135,0,0,0
0592808G,12630,200,514,248,349,255,36,20,3,11,7,63,165,51,13,17,84,54,22,39,15,23.0,42,7,36,3,3,12
0751719L,24023,6,20,14,15,4,0,1,1,0,0,10,5,0,1,0,4,6,4,3,3,1.0,1,0,0,1,0,5
0690563M,8304,32,962,444,962,108,16,402,94,236,57,216,0,0,0,0,0,30,16,30,0,3.0,28,6,7,13,8,2
0590302H,21328,5,145,20,145,43,17,27,9,16,8,59,0,0,0,0,0,4,3,4,0,4.0,3,2,2,0,1,1
0290346U,32731,20,208,166,182,101,16,8,3,4,2,69,26,10,1,0,15,17,13,10,7,1.0,11,3,10,0,1,6
0010060K,23158,107,6620,5607,6620,984,196,1217,321,836,330,3583,0,0,0,0,0,107,91,107,0,2.0,64,10,20,26,18,43
0753488J,9430,80,222,151,137,64,24,3,1,7,4,63,85,14,1,2,68,42,25,20,22,15.0,11,5,8,2,1,31
0420046X,20251,2,45,3,45,4,0,14,6,20,3,7,0,0,0,0,0,2,0,2,0,2.0,1,0,0,1,0,1
0530011Z,6196,24,264,183,213,18,2,102,34,62,34,31,51,7,1,21,22,19,14,16,2,3.0,13,7,1,8,4,6
0251021Z,3511,16,166,12,161,18,1,77,10,23,6,43,5,1,0,1,3,15,0,15,0,4.0,13,3,1,8,4,2
0751718K,16832,35,1135,438,1135,821,117,22,8,2,1,290,0,0,0,0,0,35,16,35,0,7.0,29,8,29,0,0,6
0761904G,32265,36,96,56,48,10,4,15,7,15,5,8,48,10,6,10,22,21,15,6,8,6.0,15,7,0,1,14,6
0941972H,11542,20,500,11,500,38,11,88,33,260,112,114,0,0,0,0,0,17,0,17,0,3.0,15,6,1,3,11,2
0690520R,8283,26,323,220,221,22,2,48,12,88,28,63,102,13,13,17,59,21,13,14,6,5.0,12,3,2,4,6,9
0753844W,21769,16,1335,799,1335,625,89,228,43,101,35,381,0,0,0,0,0,16,10,16,0,3.0,9,3,7,2,0,7
0751718K,18039,50,4897,3750,4897,3326,565,259,90,33,16,1279,0,0,0,0,0,54,43,53,0,4.0,34,9,34,0,0,20
0673021V,8045,30,51,26,25,2,1,2,2,0,0,21,26,0,0,0,26,12,8,0,12,0.0,0,0,0,0,0,12
0460493L,5751,15,101,5,96,3,0,13,1,62,14,18,5,0,3,0,2,12,0,11,1,7.0,12,3,0,1,11,0
0672615D,13275,14,97,6,95,11,2,10,1,33,10,41,2,0,1,1,0,8,0,8,0,6.0,8,2,1,0,7,0
0772347H,25435,110,1989,670,1989,847,168,580,147,43,13,519,0,0,0,0,0,109,52,109,0,42.0,83,17,34,47,2,26
0341728U,24865,23,509,491,509,72,8,102,25,63,24,272,0,0,0,0,0,24,24,24,0,15.0,6,1,4,1,1,18
0130051K,2585,35,839,585,839,36,22,294,175,248,173,261,0,0,0,0,0,34,23,34,0,4.0,21,17,1,11,9,13
0010014K,31661,20,232,123,220,154,12,1,1,1,1,64,12,8,0,0,4,13,5,12,1,3.0,10,2,10,0,0,3
0781944P,10009,160,868,407,578,381,54,59,12,17,6,121,290,96,17,13,164,151,56,78,73,13.0,84,15,61,15,8,67
0611149T,7319,56,383,86,335,177,14,74,12,22,7,62,48,9,5,1,33,35,10,28,7,9.0,23,5,15,4,4,12
0620256S,7408,30,785,601,785,216,61,262,91,19,10,288,0,0,0,0,0,32,27,32,0,2.0,25,8,11,14,0,7
0752846L,21205,24,2935,1590,2935,420,96,642,216,1099,514,774,0,0,0,0,0,25,15,25,0,1.0,24,11,3,4,17,1
0600048B,23492,10,86,1,86,0,0,1,0,78,21,7,0,0,0,0,0,10,0,10,0,1.0,9,1,0,0,9,1
0590065A,6742,30,498,78,498,65,11,99,36,94,46,240,0,0,0,0,0,28,1,28,0,8.0,27,10,1,12,14,1
0211237F,19577,15,87,66,60,46,4,2,1,1,0,11,27,7,2,2,16,8,7,8,0,5.0,5,0,5,0,0,3
0860856N,21021,15,80,27,58,42,8,1,0,1,0,14,22,12,1,0,9,10,5,10,0,9.0,10,2,10,0,0,0
0851415B,20708,40,278,231,247,132,11,7,0,0,0,108,31,9,2,0,20,28,24,24,4,3.0,20,0,17,3,0,8
0170145R,3055,34,667,407,667,390,31,130,21,2,0,145,0,0,0,0,0,33,19,33,0,19.0,23,4,12,11,0,10
0941111X,14512,90,1837,1212,1837,1179,313,243,111,31,16,384,0,0,0,0,0,90,69,90,0,32.0,84,24,83,1,0,6
0521032P,6187,15,135,21,135,8,3,19,3,62,13,46,0,0,0,0,0,10,0,10,0,5.0,9,2,0,1,8,1
0690274Y,8273,56,1493,729,1441,819,107,185,51,6,2,431,52,0,34,0,18,60,21,51,9,7.0,47,17,29,18,0,13
0782549X,10034,35,640,301,640,62,12,270,58,165,59,143,0,0,0,0,0,34,21,34,0,9.0,31,6,7,8,16,3
9730429D,11868,120,398,264,284,158,69,46,27,22,13,58,114,22,20,11,61,85,55,50,35,17.0,52,29,24,21,7,33
0021476U,2078,15,87,4,86,6,1,4,1,34,14,42,1,0,1,0,0,12,0,12,0,3.0,11,6,0,0,11,1
0692437Z,18455,5,62,38,62,35,9,4,2,2,1,21,0,0,0,0,0,4,1,4,0,0.0,3,0,3,0,0,1
0490075R,31727,4,211,72,211,0,0,0,0,0,0,211,0,0,0,0,0,1,0,1,0,0.0,0,0,0,0,0,1
0692522S,23164,71,10103,8621,10103,1743,403,1636,491,1157,494,5567,0,0,0,0,0,71,63,71,0,0.0,35,8,14,12,9,36
0680066C,8129,24,292,170,252,23,9,68,27,64,35,97,40,0,0,23,17,21,11,17,3,5.0,14,4,1,7,6,7
0810095N,14673,35,333,222,329,75,11,86,18,55,24,113,4,0,1,1,2,26,16,25,1,4.0,21,8,10,7,4,5
0642126N,7771,40,91,60,79,53,9,4,2,5,3,17,12,4,0,2,6,14,11,11,3,11.0,9,2,8,0,1,5
0622949U,25689,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
0421021G,5324,30,802,681,801,222,38,197,46,74,23,308,1,0,0,0,1,26,25,26,0,8.0,14,4,5,8,1,12
0491793H,23041,46,2632,2325,2632,620,86,557,105,275,73,1180,0,0,0,0,0,46,42,46,0,1.0,22,4,10,5,7,24
0572081C,26945,18,317,127,295,170,45,7,3,5,3,113,22,8,0,0,14,14,7,11,3,0.0,9,3,9,0,0,5
0570087K,6548,15,114,8,114,7,1,31,7,53,14,23,0,0,0,0,0,15,1,15,0,5.0,11,2,2,2,7,4
0830053G,10345,96,351,236,327,264,53,3,1,1,1,59,24,13,3,0,8,55,33,52,3,23.0,50,11,50,0,0,5
0632035V,30984,145,1125,662,1036,685,129,36,10,4,2,311,89,25,3,1,60,134,61,117,17,30.0,96,17,87,6,3,38
0631985R,7680,15,214,21,214,28,1,79,13,70,8,37,0,0,0,0,0,15,2,15,0,4.0,12,2,3,2,7,3
0572081C,6606,160,1000,725,908,669,187,63,23,29,11,147,92,13,6,6,67,157,101,122,35,24.0,100,30,91,3,6,57
0640011P,7701,35,371,178,341,47,11,104,34,64,29,126,30,0,18,0,12,24,11,21,2,5.0,21,7,1,10,10,3
0790024X,10111,24,146,32,129,11,0,43,9,49,16,26,17,7,0,1,9,19,3,16,3,4.0,17,2,1,4,12,2
0520727H,6179,25,200,149,185,60,12,69,17,29,9,27,15,3,3,2,7,15,10,9,6,2.0,10,2,3,7,0,5
0060807V,28055,40,1974,1899,1974,585,97,57,16,1,1,1331,0,0,0,0,0,40,40,40,0,4.0,21,3,21,0,0,19
0134061U,2701,108,2053,204,2042,1121,243,450,122,16,7,455,11,0,5,0,6,111,9,110,1,10.0,104,25,57,47,0,7
0783351U,10092,35,298,117,235,67,3,103,18,27,6,38,63,4,14,13,32,33,7,28,5,18.0,28,4,10,17,1,5
0442774B,5513,13,171,20,164,3,0,40,2,83,14,38,7,0,0,5,2,10,0,9,1,0.0,5,1,0,1,4,5
0171427J,26118,70,1082,441,1062,878,29,82,4,6,2,96,20,9,0,1,10,43,15,37,6,36.0,37,2,29,6,2,6
0691775E,17826,527,2455,1720,2404,1553,293,186,45,71,22,594,51,5,4,3,39,546,360,515,31,134.0,393,87,340,34,19,153
