eno,fno,capacite_etablissement,effectif_total,dont_effectif_candidates,total_candidats_phase_principale,neo_generaux_principal,neo_generaux_boursier_principal,neo_technologiques_principal,neo_technologiques_boursiers_principal,neo_professionnels_principal,neo_professionnels_boursiers_principal,autre_candidats_principal,total_candidats_complementaire,neo_generaux_complementaire,neo_technologique_complementaire,neo_professionnels_complementaire,autre_candidats_complementaires,total_candidats_admis,dont_candidates_admises,admis_principal,admis_complementaire,admis_proposition_principale,neo_admis,neo_boursiers_admis,neo_admis_generaux,neo_admis_technologiques,neo_admis_professionnels,admis_autres
0022108F,25133,18,247,152,134,44,10,27,5,27,6,36,113,26,15,23,49,17,11,10,7,7.0,11,4,2,4,5,6
0440355X,5546,34,133,84,116,15,1,19,2,50,6,32,17,1,0,8,8,20,15,18,2,8.0,15,3,2,5,8,5
0130049H,2564,30,437,87,430,55,18,88,34,62,35,225,7,0,0,0,7,23,5,23,0,4.0,12,8,1,6,5,11
0940120V,31295,24,763,320,748,637,78,0,0,1,1,110,15,6,0,0,9,19,7,18,1,0.0,19,1,19,0,0,0
0311262D,4127,32,675,464,675,212,29,191,51,57,21,215,0,0,0,0,0,29,26,29,0,1.0,24,7,9,12,3,5
0711372F,8664,72,547,107,527,401,47,41,11,1,1,84,20,3,3,0,14,42,5,37,5,7.0,35,6,33,2,0,7
0382440W,5110,10,491,207,486,213,42,74,17,45,13,154,5,1,0,0,4,10,7,10,0,4.0,8,4,5,1,2,2
0141904U,15839,20,70,39,64,6,1,8,1,18,3,32,6,1,0,3,2,8,6,3,5,2.0,6,0,2,0,4,2
0870015U,10663,48,321,227,318,276,40,1,0,0,0,41,3,1,0,0,2,38,28,37,1,14.0,37,4,37,0,0,1
0381775Y,5002,26,418,259,418,248,38,77,18,3,1,90,0,0,0,0,0,27,20,27,0,6.0,24,3,17,7,0,3
0131549N,2651,40,728,373,713,93,29,272,99,181,86,167,15,1,6,0,8,32,19,29,2,3.0,27,9,2,10,15,5
9741186W,16185,14,193,17,193,22,12,63,27,74,49,34,0,0,0,0,0,13,0,13,0,4.0,13,8,2,5,6,0
0134017W,20513,50,1138,1039,1138,596,209,76,34,66,38,400,0,0,0,0,0,50,47,50,0,20.0,39,15,31,3,5,11
0480514Y,5810,24,286,99,277,19,3,36,11,47,18,175,9,0,2,3,4,12,3,9,3,3.0,6,2,0,2,4,6
0331683A,4363,27,558,108,551,133,16,138,25,100,16,180,7,0,1,0,6,27,0,24,3,5.0,23,3,8,8,7,4
0932324W,23055,63,4588,4093,4588,441,179,820,398,664,383,2663,0,0,0,0,0,58,49,58,0,0.0,24,10,8,16,0,34
0740047Z,8877,96,562,299,543,0,0,250,27,151,20,142,19,0,4,6,9,71,43,67,4,44.0,43,2,0,25,18,28
0340994W,30183,14,118,48,106,12,1,32,10,12,6,50,12,0,5,3,4,3,1,2,1,1.0,2,0,0,2,0,1
0440984F,18085,5,31,23,23,19,5,0,0,0,0,4,8,2,2,1,3,4,2,4,0,1.0,4,1,4,0,0,0
0490075R,32869,6,52,13,48,23,6,1,0,0,0,24,4,1,0,0,3,4,1,3,1,0.0,3,0,3,0,0,1
0624065G,24949,32,135,124,135,34,6,32,7,11,3,58,0,0,0,0,0,32,30,32,0,23.0,13,3,6,5,2,19
0751708Z,18848,33,1524,905,1429,119,29,305,113,533,296,472,95,38,0,0,57,31,23,25,6,7.0,18,10,4,1,13,13
0750696Z,35028,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,11,0,0,0.0,24,13,3,11,10,0
0590065A,13553,15,144,13,126,9,1,22,8,27,10,68,18,0,5,7,6,10,1,8,2,2.0,6,2,0,1,5,4
1340045W,25818,35,598,365,598,549,6,0,0,0,0,49,0,0,0,0,0,35,30,35,0,7.0,35,0,35,0,0,0
0860703X,10600,75,799,53,711,398,50,158,29,9,1,146,88,32,7,1,48,53,2,41,12,24.0,40,6,33,7,0,13
0212250G,25968,28,797,107,776,576,64,63,15,0,0,137,21,10,1,0,10,15,2,15,0,11.0,13,1,12,1,0,2
0260019E,3614,34,282,176,282,9,5,89,37,118,68,66,0,0,0,0,0,33,22,32,0,3.0,26,16,0,13,13,7
0141418R,2901,24,403,219,398,105,13,125,28,79,21,89,5,0,0,3,2,24,13,22,2,4.0,13,5,4,3,6,11
0341543T,19416,48,764,548,764,150,35,124,31,6,2,484,0,0,0,0,0,48,35,48,0,27.0,18,7,17,1,0,30
9730371R,13527,18,268,153,243,35,20,45,28,70,51,93,25,0,0,16,9,16,10,16,0,9.0,15,11,5,6,4,1
0597065J,20949,500,5168,3096,5168,4201,649,67,28,17,7,883,0,0,0,0,0,497,316,497,0,218.0,485,66,481,3,1,12
0754030Y,16177,22,266,91,161,27,4,35,7,67,26,32,105,21,40,0,44,22,15,19,3,8.0,18,3,6,2,10,4
0761904G,26410,160,1330,1140,1330,752,150,143,35,30,12,405,0,0,0,0,0,160,137,160,0,39.0,112,20,108,3,1,48
0952260R,11637,130,421,149,254,148,27,28,4,5,2,73,167,40,12,5,110,110,37,53,57,23.0,54,15,41,11,2,56
0130040Y,2548,144,2497,1738,2497,1805,253,10,3,4,2,678,0,0,0,0,0,129,97,129,0,26.0,112,10,112,0,0,17
0640057P,7714,24,212,52,212,10,4,78,24,53,20,71,0,0,0,0,0,24,3,24,0,5.0,20,9,1,7,12,4
0572697X,23193,300,5211,4238,5211,1092,229,982,279,510,181,2627,0,0,0,0,0,304,258,303,0,21.0,179,56,55,78,46,125
0560180S,13698,35,332,160,329,88,15,121,14,56,14,64,3,0,0,1,2,35,17,34,1,6.0,25,4,7,14,4,10
0692523T,23165,149,8418,7168,8418,1389,315,1461,434,948,405,4620,0,0,0,0,0,149,126,149,0,3.0,75,21,40,21,14,74
0931272C,11264,12,248,19,248,8,4,63,20,106,61,71,0,0,0,0,0,10,0,10,0,2.0,10,6,2,4,4,0
0311323V,4130,24,367,275,322,278,49,1,0,0,0,43,45,21,1,1,22,28,18,24,4,0.0,24,2,24,0,0,4
0754318L,12041,30,89,48,68,41,2,4,1,4,1,19,21,8,1,1,11,20,10,19,1,12.0,11,1,9,1,1,9
0141275K,2866,18,174,103,164,24,6,21,3,68,22,51,10,0,3,4,3,16,9,13,3,4.0,13,3,1,0,12,3
0572757M,31330,48,445,246,439,382,35,1,0,0,0,56,6,5,0,0,1,35,21,34,1,4.0,33,0,33,0,0,2
0341956S,25181,50,1165,192,1135,864,115,85,22,0,0,186,30,6,0,0,24,36,5,34,2,19.0,30,5,28,2,0,6
0383546Y,5068,120,473,374,323,201,48,12,2,2,1,108,150,32,8,4,106,92,63,42,50,39.0,35,9,29,4,2,57
0332468D,4439,30,1884,1462,1884,470,100,616,176,98,37,700,0,0,0,0,0,28,25,26,0,2.0,24,6,9,12,3,4
0311323V,21690,15,1110,898,1110,494,84,283,64,74,24,259,0,0,0,0,0,15,12,15,0,0.0,14,2,12,2,0,1
0941301D,11518,30,847,491,847,20,5,246,111,300,153,281,0,0,0,0,0,30,19,30,0,0.0,26,15,1,12,13,4
0610698C,7307,24,98,61,88,9,2,23,8,19,10,37,10,0,1,3,6,12,8,8,4,7.0,8,3,0,4,4,4
0480022N,21712,16,199,136,199,58,9,48,6,41,13,52,0,0,0,0,0,14,11,14,0,6.0,10,3,6,2,2,4
0691774D,8345,570,6573,4547,6573,4033,626,245,62,11,4,2284,0,0,0,0,0,572,369,568,0,54.0,357,65,353,4,0,215
0940609B,11440,200,2217,178,2217,1102,275,589,185,24,8,502,0,0,0,0,0,195,17,195,0,115.0,172,48,79,93,0,23
9720843J,11848,24,151,42,148,38,12,64,26,35,20,11,3,0,1,0,2,22,9,22,0,6.0,22,7,10,12,0,0
0370037P,4833,24,913,584,901,73,13,313,100,275,138,240,12,0,0,11,1,29,18,26,3,6.0,28,17,1,14,13,1
0250010A,3460,35,212,113,212,0,0,185,46,0,0,27,0,0,0,0,0,27,18,27,0,18.0,27,5,0,27,0,0
0370800U,24047,40,219,166,199,122,28,14,7,6,3,57,20,7,0,1,12,40,31,31,9,9.0,20,7,18,1,1,20
0490073N,5848,45,414,97,413,85,10,151,28,111,26,66,1,0,0,0,1,44,8,43,0,13.0,41,2,14,20,7,3
0753488J,29612,10,64,49,39,21,5,5,3,0,0,13,25,6,3,1,15,9,8,4,5,0.0,4,3,3,1,0,5
0755976N,33538,100,9934,6919,9934,7612,1473,304,105,76,39,1942,0,0,0,0,0,94,77,94,0,2.0,91,18,91,0,0,3
0141408E,19192,40,317,174,261,146,31,25,5,15,9,75,56,6,5,1,44,38,17,20,18,3.0,19,4,10,6,3,19
0820021C,10318,30,543,481,512,29,4,161,49,176,79,146,31,0,14,0,17,30,28,26,3,1.0,28,11,2,9,17,2
0750677D,9041,48,1497,1442,1363,175,39,399,133,368,155,421,134,46,0,0,88,37,37,31,6,9.0,26,8,7,5,14,11
0940821G,11447,34,912,406,554,66,12,228,63,114,37,146,358,7,36,175,140,26,11,22,4,9.0,22,3,1,18,3,4
0261067U,3650,26,185,105,174,41,3,34,5,33,6,66,11,4,1,0,6,21,9,21,0,9.0,18,3,7,5,6,3
0750663N,8992,96,4449,1682,4449,3974,427,0,0,0,0,475,0,0,0,0,0,92,39,92,0,0.0,91,8,91,0,0,1
0753488J,9441,15,19,8,8,2,2,1,1,1,1,4,11,2,2,0,7,3,1,2,1,2.0,2,2,0,1,1,1
0130201Y,18398,25,329,221,329,181,30,3,1,4,4,141,0,0,0,0,0,27,15,27,0,13.0,23,4,23,0,0,4
0440246D,5505,15,84,61,84,3,1,1,0,60,28,20,0,0,0,0,0,12,8,12,0,4.0,10,5,1,0,9,2
0831187P,22232,12,124,5,115,22,1,21,6,43,12,29,9,0,6,0,3,12,0,11,1,5.0,7,3,0,0,7,5
0352305R,26305,245,1050,444,1027,807,38,85,7,2,0,133,23,6,4,1,12,271,134,262,9,260.0,236,14,206,29,1,35
0620042J,7346,33,889,459,889,131,32,153,53,64,25,541,0,0,0,0,0,29,15,29,0,7.0,20,5,7,11,2,9
9730336C,23443,12,151,141,119,26,13,31,19,26,20,36,32,3,5,4,20,9,7,7,2,0.0,3,1,2,0,1,6
0952260R,11628,40,400,331,227,171,41,21,7,4,1,31,173,84,21,2,66,23,21,22,1,11.0,23,1,23,0,0,0
0691775E,8397,165,1303,990,1214,884,221,91,40,28,13,211,89,16,11,9,53,178,126,135,43,14.0,129,45,96,21,12,49
0751719L,9246,23,506,351,506,306,35,11,5,28,8,161,0,0,0,0,0,23,15,23,0,2.0,17,7,14,0,3,6
0250010A,3464,35,678,442,678,70,18,195,69,211,88,202,0,0,0,0,0,32,22,32,0,3.0,26,7,3,6,17,6
0333298F,26335,12,455,173,416,342,35,2,1,2,2,70,39,18,1,0,20,11,5,7,4,1.0,6,3,6,0,0,5
7200664J,13889,100,413,351,377,161,39,75,21,23,9,118,36,4,4,4,24,97,86,77,16,17.0,61,19,23,24,14,36
0211237F,3258,35,145,94,121,74,27,8,3,3,2,36,24,2,0,2,20,35,19,22,13,18.0,17,6,16,0,1,18
0020079A,20209,15,32,1,29,0,0,0,0,20,6,9,3,0,0,3,0,10,1,10,0,9.0,7,2,0,0,7,3
0380081G,4950,32,461,29,461,52,7,182,54,129,51,98,0,0,0,0,0,33,2,33,0,5.0,31,13,2,17,12,2
0350936C,19166,30,727,311,688,524,61,18,4,0,0,146,39,9,0,0,30,24,7,21,3,2.0,20,3,20,0,0,4
0755976N,9351,168,1633,739,1549,943,171,90,20,38,11,478,84,19,11,2,52,166,51,133,33,3.0,99,30,82,15,2,67
0350936C,4725,110,673,411,498,322,86,32,6,8,4,136,175,30,23,6,116,91,45,40,51,7.0,39,12,27,8,4,52
0561718N,29064,75,602,117,534,402,71,25,9,1,0,106,68,21,0,0,47,37,9,30,7,1.0,21,6,18,3,0,16
0597065J,7074,40,181,142,165,86,32,11,6,10,7,58,16,2,1,1,12,39,29,32,7,10.0,16,6,13,2,1,23
9840349G,12011,320,884,569,708,252,95,199,108,82,64,175,176,13,25,26,112,308,196,207,101,81.0,170,105,54,67,49,138
0492420P,5911,24,208,21,190,151,9,0,0,0,0,39,18,10,0,0,8,8,0,6,2,4.0,6,0,6,0,0,2
0640131V,7723,30,301,170,286,25,8,82,18,52,25,127,15,1,2,1,11,18,5,17,1,8.0,13,3,5,6,2,5
9720643S,33337,15,12,7,6,2,0,1,0,1,1,2,6,0,2,1,3,0,0,0,0,0.0,0,0,0,0,0,0
0690274Y,8272,112,2095,1204,2095,1245,172,265,68,8,4,577,0,0,0,0,0,118,79,118,0,57.0,114,21,63,51,0,4
0860058W,23547,8,419,94,419,107,20,99,23,94,28,119,0,0,0,0,0,7,1,7,0,4.0,3,0,1,1,1,4
0810012Y,10269,12,66,1,66,0,0,12,1,39,8,15,0,0,0,0,0,9,0,9,0,5.0,9,1,0,1,8,0
0750658H,31871,48,1903,938,1903,1709,108,1,0,0,0,193,0,0,0,0,0,47,25,47,0,7.0,46,1,46,0,0,1
0772894C,32345,20,255,75,255,150,39,18,9,3,1,84,0,0,0,0,0,19,8,19,0,1.0,12,3,12,0,0,7
0592808G,32497,30,155,82,155,153,7,0,0,0,0,2,0,0,0,0,0,30,19,30,0,11.0,30,1,30,0,0,0
0761904G,26408,434,4106,3393,4106,2196,510,443,137,122,48,1345,0,0,0,0,0,431,376,431,0,64.0,319,99,303,13,3,112
0271476H,23224,131,2498,2146,2498,486,108,483,137,259,97,1270,0,0,0,0,0,130,108,130,0,1.0,84,28,24,41,19,46
0941111X,24388,70,556,305,344,169,53,42,9,15,7,118,212,43,34,14,121,68,31,22,44,0.0,32,7,17,11,4,36
0597065J,29068,70,4071,3323,4071,2310,579,405,182,101,48,1255,0,0,0,0,0,69,62,69,0,3.0,54,19,52,1,1,15
0560026Z,6428,30,184,32,181,11,2,37,6,25,5,108,3,0,1,0,2,9,2,8,1,0.0,5,3,0,4,1,4
0211237F,17345,90,1011,909,1011,597,126,75,14,17,5,322,0,0,0,0,0,89,86,89,0,20.0,69,18,62,5,2,20
0410970G,5260,100,693,491,612,450,107,70,21,13,6,79,81,20,8,6,47,82,51,60,22,10.0,62,13,51,7,4,20
0951809A,32854,40,131,34,59,28,3,6,1,7,6,18,72,21,6,5,40,25,5,14,11,14.0,21,3,17,3,1,4
0290346U,28042,10,1348,883,1348,936,130,32,7,11,8,369,0,0,0,0,0,10,9,10,0,0.0,8,1,7,1,0,2
0771940R,9855,24,307,9,301,4,1,39,10,175,73,83,6,0,3,0,3,24,0,23,1,10.0,20,8,0,4,16,4
0132733A,13173,20,122,41,72,0,0,0,0,60,30,12,50,0,0,29,21,14,1,13,1,8.0,13,7,0,0,13,1
0290012F,21606,15,123,63,123,37,5,37,5,12,3,37,0,0,0,0,0,10,4,10,0,1.0,7,1,4,3,0,3
0941111X,23856,58,1591,546,1591,1226,273,27,10,3,3,335,0,0,0,0,0,58,20,56,0,0.0,36,10,35,1,0,22
0251215K,14077,18,87,33,72,56,6,0,0,0,0,16,15,5,0,0,10,8,3,7,1,4.0,5,0,5,0,0,3
9730094P,25216,14,35,0,35,0,0,0,0,33,23,2,0,0,0,0,0,14,0,14,0,6.0,14,12,0,0,14,0
0624489T,25011,10,56,46,56,9,3,10,2,2,0,35,0,0,0,0,0,12,11,12,0,8.0,3,2,0,2,1,9
0753147N,23905,75,317,112,258,177,20,43,7,8,4,30,59,24,12,8,15,32,7,23,9,22.0,28,3,19,8,1,4
0931272C,20488,30,552,313,552,93,24,127,42,185,76,147,0,0,0,0,0,29,18,28,0,0.0,23,7,6,7,10,6
0671685T,7985,30,305,118,305,21,8,46,8,62,15,176,0,0,0,0,0,29,19,29,0,11.0,23,4,3,9,11,6
0597065J,16549,60,653,406,239,13,3,172,45,0,0,54,414,100,84,0,230,43,28,40,3,25.0,34,12,0,34,0,9
0130048G,31272,24,262,139,235,195,40,0,0,0,0,40,27,11,0,2,14,19,8,15,4,4.0,14,5,14,0,0,5
0590347G,23343,5,22,8,19,0,0,19,9,0,0,0,3,0,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
0751719L,9232,30,161,117,161,86,40,7,2,11,7,57,0,0,0,0,0,30,21,30,0,6.0,21,10,18,1,2,9
0311383K,4173,180,794,669,633,360,94,18,4,8,4,247,161,20,11,0,130,180,149,106,74,105.0,66,14,53,11,2,114
0440256P,5527,68,697,54,697,154,18,229,37,131,34,183,0,0,0,0,0,68,4,68,0,19.0,54,7,11,25,18,14
0640251A,15192,30,102,69,47,30,5,2,2,3,2,12,55,7,4,6,38,13,10,3,10,3.0,8,5,5,2,1,5
0341089Z,4557,220,1527,1031,1527,865,205,130,34,70,38,462,0,0,0,0,0,240,169,240,0,237.0,151,43,126,14,11,89
0631068U,7606,72,664,272,662,104,18,182,43,239,81,137,2,0,2,0,0,62,27,60,1,16.0,58,12,13,13,32,4
0240026Y,3427,15,83,8,74,3,1,36,8,18,6,17,9,0,0,1,8,11,1,6,5,2.0,4,1,0,3,1,7
0940124Z,31294,48,883,447,862,760,150,2,1,1,1,99,21,12,1,0,8,33,13,28,5,0.0,31,8,31,0,0,2
0941111X,11484,90,1738,1233,816,607,146,47,13,10,1,152,922,424,99,15,384,89,66,65,23,5.0,81,17,79,2,0,8
0782563M,31407,48,531,230,531,480,30,1,0,0,0,50,0,0,0,0,0,42,16,42,0,0.0,42,1,42,0,0,0
0120024L,2490,24,530,236,530,28,6,197,63,189,82,116,0,0,0,0,0,19,11,19,0,0.0,14,3,2,5,7,5
0753541S,21816,150,1742,913,1742,1480,58,16,1,0,0,246,0,0,0,0,0,174,112,174,0,141.0,167,10,167,0,0,7
0751719L,17377,33,150,98,47,26,2,2,1,0,0,19,103,12,10,8,73,31,19,10,21,7.0,7,1,5,0,2,24
0912412C,12951,30,1112,827,592,506,68,8,2,1,0,77,520,305,20,4,191,28,27,24,4,6.0,26,4,26,0,0,2
0290346U,28215,120,1627,892,1627,1143,160,28,5,10,7,446,0,0,0,0,0,118,59,118,0,6.0,80,3,76,3,1,38
0420979L,5320,60,484,361,447,128,35,96,31,68,27,155,37,1,2,9,25,50,40,42,8,7.0,29,8,14,7,8,21
0920928J,29298,36,213,21,196,0,0,175,39,0,0,21,17,0,9,0,8,30,4,29,1,19.0,28,4,0,28,0,2
0672462M,8002,28,655,309,646,406,30,77,21,0,0,163,9,0,6,0,3,24,12,23,1,7.0,16,1,14,2,0,8
0751719L,24003,50,449,363,449,301,68,30,11,10,2,108,0,0,0,0,0,50,45,50,0,11.0,39,11,38,1,0,11
0290352A,3879,66,593,351,578,349,32,101,12,1,0,127,15,3,1,0,11,59,27,56,3,8.0,41,7,28,13,0,18
9730421V,20862,16,116,44,93,7,3,14,7,50,41,22,23,2,2,8,11,8,5,7,1,6.0,7,5,1,2,4,1
0020059D,2071,35,729,367,723,65,15,152,55,198,92,308,6,0,0,4,2,30,12,30,0,7.0,26,8,1,12,13,4
0932046U,11327,33,807,178,807,36,14,218,95,240,125,313,0,0,0,0,0,31,7,31,0,5.0,27,15,5,11,11,4
0931002J,11223,48,492,160,492,213,34,147,35,27,7,105,0,0,0,0,0,54,11,54,0,31.0,45,8,24,21,0,9
0731383G,29653,4,144,75,142,111,16,1,0,0,0,30,2,1,0,0,1,4,2,3,1,0.0,3,1,3,0,0,1
0030094L,2137,19,218,84,217,11,2,45,10,43,15,118,1,0,0,0,1,13,6,13,0,7.0,12,2,2,6,4,1
0560038M,6433,35,513,256,456,33,5,111,31,58,22,254,57,5,16,6,30,18,9,11,7,0.0,11,3,3,5,3,7
0134017W,2735,52,216,153,143,100,32,13,8,3,2,27,73,9,4,8,52,21,16,18,3,17.0,14,4,13,1,0,7
0171463Y,3076,145,656,489,641,459,88,57,21,15,5,110,15,3,1,0,11,144,102,132,12,31.0,113,21,94,18,1,31
0140013N,2820,96,724,470,714,510,70,1,1,0,0,203,10,2,0,0,8,78,53,76,1,20.0,74,10,74,0,0,3
0510065U,32185,8,140,125,138,81,9,14,3,0,0,43,2,0,0,0,2,8,7,7,1,0.0,3,0,3,0,0,5
0370749N,21902,15,578,307,578,258,41,117,20,54,13,149,0,0,0,0,0,15,11,15,0,3.0,13,1,8,3,2,2
0290346U,28244,30,1093,802,1093,734,116,21,4,8,7,330,0,0,0,0,0,29,25,29,0,2.0,25,4,25,0,0,4
0751722P,31056,10,1832,829,1832,987,255,49,25,2,2,794,0,0,0,0,0,10,3,10,0,1.0,2,0,2,0,0,8
0540040A,21161,24,256,202,256,196,32,13,5,10,2,37,0,0,0,0,0,24,21,24,0,5.0,19,5,18,1,0,5
0110023R,2460,35,344,185,329,31,9,119,61,59,41,120,15,0,9,0,6,32,16,27,5,5.0,22,13,4,11,7,10
0671639T,14671,28,427,375,351,54,11,104,41,98,40,95,76,2,4,36,34,17,17,15,2,3.0,12,3,4,6,2,5
0761688X,9662,20,1275,956,1275,748,107,250,62,12,5,265,0,0,0,0,0,22,17,22,0,2.0,21,5,14,7,0,1
0921166T,11069,30,772,707,772,14,6,165,72,327,173,266,0,0,0,0,0,28,25,28,0,5.0,20,12,0,7,13,8
0720916E,20801,30,397,189,345,283,30,9,3,7,4,46,52,14,4,1,33,16,11,10,6,5.0,15,2,15,0,0,1
0720916E,8740,140,941,656,813,601,153,51,16,26,12,135,128,26,10,4,88,138,92,102,36,33.0,85,24,73,7,5,53
0121423G,17595,12,314,174,314,83,11,99,23,68,12,64,0,0,0,0,0,18,10,18,0,9.0,16,2,3,6,7,2
0541205S,6302,60,624,54,502,272,49,122,32,5,2,103,122,35,8,3,76,52,3,45,7,9.0,41,4,31,10,0,11
0932270M,11354,50,3297,979,3297,1281,364,959,377,130,56,927,0,0,0,0,0,49,21,49,0,2.0,42,17,21,21,0,7
0570313F,6588,35,499,232,499,103,21,107,28,44,11,245,0,0,0,0,0,32,13,32,0,5.0,26,6,8,13,5,6
0130001F,2525,35,1137,702,1137,113,43,367,146,329,176,328,0,0,0,0,0,27,16,26,0,2.0,20,6,3,6,11,7
0501219D,6026,24,1025,554,1025,124,25,177,47,70,21,654,0,0,0,0,0,24,18,24,0,5.0,16,3,6,8,2,8
9720832X,19450,100,300,232,250,148,66,24,8,27,15,51,50,11,8,9,22,72,47,52,20,13.0,55,29,32,11,12,17
0350936C,32443,20,129,77,37,11,2,13,4,7,3,6,92,22,24,9,37,21,11,7,12,7.0,19,3,6,8,5,2
0761721H,9669,15,119,15,116,19,0,25,4,20,4,52,3,0,0,2,1,13,1,13,0,1.0,7,0,3,3,1,6
0331766R,4420,118,1724,1255,1724,1237,199,76,19,6,4,405,0,0,0,0,0,117,98,117,0,36.0,103,15,102,1,0,14
0931026K,11233,25,393,186,393,21,14,138,68,126,74,108,0,0,0,0,0,18,10,18,0,4.0,12,3,2,5,5,6
0450855K,24151,70,375,236,274,182,45,26,14,15,3,51,101,16,9,15,61,65,36,39,26,4.0,37,12,20,5,12,28
0500112A,6010,24,73,43,61,7,0,20,3,14,1,20,12,1,4,1,6,13,9,11,2,7.0,6,1,1,1,4,7
0310047H,4070,30,1509,1092,1509,1391,168,5,1,0,0,113,0,0,0,0,0,35,31,35,0,9.0,35,5,35,0,0,0
0710012C,8620,32,371,78,348,196,28,0,0,0,0,152,23,10,0,0,13,30,6,23,7,8.0,19,2,19,0,0,11
0622114L,7413,26,218,51,184,19,3,30,7,23,11,112,34,0,5,5,24,21,1,12,9,4.0,12,1,5,5,2,9
0632035V,15263,140,592,401,508,319,81,49,12,30,15,110,84,25,2,5,52,132,87,98,34,97.0,84,16,68,7,9,48
0062205P,27477,52,934,677,934,568,123,48,16,18,11,300,0,0,0,0,0,46,32,46,0,2.0,30,8,28,2,0,16
0690128P,8247,40,470,47,470,0,0,431,102,0,0,39,0,0,0,0,0,39,3,39,0,23.0,36,8,0,36,0,3
0240025X,3424,70,811,382,713,65,7,209,62,232,96,207,98,19,16,14,49,59,24,48,7,6.0,52,17,10,12,30,7
0911937L,10940,34,758,437,758,40,14,253,106,218,110,247,0,0,0,0,0,32,17,32,0,4.0,29,12,3,12,14,3
0160079Z,2995,24,129,60,106,16,4,26,5,25,15,39,23,4,4,2,13,23,10,20,2,12.0,19,7,5,6,8,4
0692437Z,14964,75,1183,1090,1183,669,191,74,33,45,22,395,0,0,0,0,0,77,68,77,0,31.0,70,13,70,0,0,7
0782132U,10022,48,1139,447,1139,835,74,1,0,0,0,303,0,0,0,0,0,46,25,46,0,8.0,46,4,46,0,0,0
0592967E,6929,34,493,437,449,57,13,147,48,132,59,113,44,3,5,12,24,24,22,21,3,7.0,23,6,1,12,10,1
0080008R,2357,24,87,8,68,2,1,30,8,14,3,22,19,1,6,4,8,19,1,10,9,3.0,12,3,0,9,3,7
0160083D,2996,26,78,38,78,0,0,18,0,37,10,23,0,0,0,0,0,26,14,26,0,11.0,14,1,0,2,12,12
0890005X,10771,15,97,11,88,1,0,28,6,39,16,20,9,0,1,4,4,9,0,8,0,4.0,8,1,1,5,2,1
0593255T,6991,24,248,130,232,17,4,55,11,14,5,146,16,3,6,1,6,14,5,8,6,1.0,9,2,3,4,2,5
0470823P,5787,35,202,91,190,8,0,18,4,56,25,108,12,1,1,4,6,7,3,6,1,4.0,5,1,0,1,4,2
0590101P,6771,22,440,199,432,32,13,71,23,41,17,288,8,0,0,4,4,16,8,16,0,6.0,15,7,3,11,1,1
0640176U,24965,15,31,27,13,1,0,3,1,3,1,6,18,2,3,2,11,0,0,0,0,0.0,0,0,0,0,0,0
0782132U,10021,48,1517,433,1517,1215,140,2,1,0,0,300,0,0,0,0,0,47,11,47,0,5.0,47,3,47,0,0,0
0060656F,31192,80,637,282,599,527,14,19,1,0,0,53,38,13,4,1,20,76,35,62,14,25.0,68,4,63,5,0,8
0300950V,20432,15,170,105,164,18,2,51,19,19,11,76,6,0,0,2,4,11,4,9,1,0.0,7,2,2,3,2,4
0692800U,8548,33,1293,889,1283,52,20,417,204,467,275,347,10,0,0,5,5,29,23,29,0,0.0,27,18,2,14,11,2
0300021K,3926,47,1656,461,1656,1244,169,4,2,0,0,408,0,0,0,0,0,47,11,47,0,17.0,47,5,47,0,0,0
0520867K,23222,58,2033,1727,2033,331,75,485,148,202,86,1015,0,0,0,0,0,55,48,55,0,1.0,38,13,11,16,11,17
0220470S,24785,27,278,133,278,29,5,70,17,94,19,85,0,0,0,0,0,34,18,34,0,10.0,22,8,1,7,14,12
0801344B,20676,36,836,213,777,488,87,66,21,0,0,223,59,5,6,1,47,36,5,19,17,0.0,22,5,18,4,0,14
0754902W,23207,100,7550,6702,7550,964,280,1232,467,1032,486,4322,0,0,0,0,0,93,77,92,0,3.0,51,8,13,20,18,42
0941952L,11540,24,1397,678,1269,59,20,355,154,460,229,395,128,39,0,0,89,24,8,21,1,4.0,21,7,2,10,9,3
0470947Z,26607,30,864,627,853,524,118,85,38,23,13,221,11,2,1,1,7,28,20,24,3,0.0,23,7,19,3,1,5
0590347G,80,80,2124,450,2110,2097,172,0,0,0,0,13,14,13,0,0,1,47,2,45,2,39.0,46,5,46,0,0,1
0440980B,5552,32,550,210,550,150,14,140,23,137,29,123,0,0,0,0,0,32,11,32,0,10.0,25,4,7,7,11,7
0755976N,23326,43,2443,1641,2443,1593,276,65,17,7,3,778,0,0,0,0,0,41,27,41,0,0.0,32,7,32,0,0,9
9720832X,28288,50,520,402,520,317,106,80,34,4,4,119,0,0,0,0,0,45,36,45,0,10.0,42,15,17,25,0,3
0750710P,21741,10,205,163,205,53,12,69,7,10,2,73,0,0,0,0,0,7,5,7,0,3.0,6,1,0,6,0,1
0180036S,3109,20,141,11,139,18,1,53,13,43,12,25,2,0,1,1,0,18,3,18,0,2.0,18,4,3,5,10,0
0672462M,8000,30,375,23,375,189,22,121,30,7,5,58,0,0,0,0,0,31,1,31,0,4.0,30,9,15,15,0,1
